original_title,popularity,vote_average,vote_count,log_budget,log_revenue,everything,id,genre
Avatar,150.437577,7.2,11800,19.283570703318816,21.74857780752812,"in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization Action,Adventure,Fantasy,Science Fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Lightstorm Entertainment United States of America, United Kingdom English, Español",19995,"Action,Adventure,Fantasy,Science Fiction"
Pirates of the Caribbean: At World's End,139.082615,6.9,4500,19.519293035953808,20.68348496797515,"captain barbossa long believed to be dead has come back to life and is headed to the edge of the earth with will turner and elizabeth swann but nothing is quite as it seems Adventure,Fantasy,Action ocean drug abuse exotic island east india trading company love of ones life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions United States of America English",285,"Adventure,Fantasy,Action"
Spectre,107.376788,6.3,4466,19.316768772590635,20.59619877401982,"a cryptic message from bonds past sends him on a trail to uncover a sinister organization while m battles political forces to keep the secret service alive bond peels back the layers of deceit to reveal the terrible truth behind spectre Action,Adventure,Crime spy based on novel secret agent sequel mi6 british secret service united kingdom Columbia Pictures, Danjaq, B24 United Kingdom, United States of America Français, English, Español, Italiano, Deutsch",206647,"Action,Adventure,Crime"
The Dark Knight Rises,112.31295,7.6,9106,19.33697147982652,20.804789693331283,"following the death of district attorney harvey dent batman assumes responsibility for dents crimes to protect the late attorneys reputation and is subsequently hunted by the gotham city police department eight years later batman encounters the mysterious selina kyle and the villainous bane a new terrorist leader who overwhelms gothams finest the dark knight resurfaces to protect a city that has branded him an enemy Action,Crime,Drama,Thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante coverup superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman Legendary Pictures, Warner Bros., DC Entertainment, Syncopy United States of America English",49026,"Action,Crime,Drama,Thriller"
John Carter,43.926995,6.1,2124,19.376192192825954,19.46497446846993,"john carter is a warweary former military captain whos inexplicably transported to the mysterious and exotic planet of barsoom mars and reluctantly becomes embroiled in an epic conflict its a world on the brink of collapse and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands Action,Adventure,Science Fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d Walt Disney Pictures United States of America English",49529,"Action,Adventure,Science Fiction"
Spider-Man 3,115.699814,5.9,3576,19.36847014676186,20.607710897613856,"the seemingly invincible spiderman goes up against an allnew crop of villain including the shapeshifting sandman while spidermans superpowers are altered by an alien organism his alter ego peter parker deals with nemesis eddie brock and also gets caught up in a love triangle Fantasy,Action,Adventure dual identity amnesia sandstorm love of ones life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises United States of America English, Français",559,"Fantasy,Action,Adventure"
Tangled,48.681969,7.4,3330,19.376192192825954,20.198670742638633,"when the kingdoms most wantedand most charmingbandit flynn rider hides out in a mysterious tower hes taken hostage by rapunzel a beautiful and feisty towerbound teen with 70 feet of magical golden hair flynns curious captor whos looking for her ticket out of the tower where shes been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an actionpacked escapade complete with a supercop horse an overprotective chameleon and a gruff gang of pub thugs Animation,Family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick Walt Disney Pictures, Walt Disney Animation Studios United States of America English",38757,"Animation,Family"
Avengers: Age of Ultron,134.279229,7.3,6767,19.450300164704952,21.063590425863644,"when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure Action,Adventure,Science Fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d Marvel Studios, Prime Focus, Revolution Sun Studios United States of America English",99861,"Action,Adventure,Science Fiction"
Harry Potter and the Half-Blood Prince,98.885637,7.4,5293,19.33697147982652,20.65494331001405,"as harry begins his sixth year at hogwarts he discovers an old book marked as property of the halfblood prince and begins to learn more about lord voldemorts dark past Adventure,Fantasy,Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf Warner Bros., Heyday Films United Kingdom, United States of America English",767,"Adventure,Fantasy,Family"
Batman v Superman: Dawn of Justice,155.790452,5.7,7004,19.33697147982652,20.587744116361193,"fearing the actions of a godlike super hero left unchecked gotham citys own formidable forceful vigilante takes on metropoliss most revered modernday savior while the world wrestles with what sort of hero it really needs and with batman and superman at war with one another a new threat quickly arises putting mankind in greater danger than its ever known before Action,Adventure,Fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe DC Comics, Atlas Entertainment, Warner Bros., DC Entertainment, Cruel & Unusual Films, RatPac-Dune Entertainment United States of America English",209112,"Action,Adventure,Fantasy"
